Key,Title,Description,CategoryGroupID
1014950,Home ownership: Rent: no rent subsidy,A household lives in its own home or lives in a rented house. In addition households living in a rented house have been subdivided into households receiving rent subsidy or not.,5
1014900,Home ownership: Rent with rent subsidy,A household lives in its own home or lives in a rented house. In addition households living in a rented house have been subdivided into households receiving rent subsidy or not.,5
1020870,Equivalised income: 1st 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year.",6
1020880,Equivalised income: 2nd 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year.",6
1020890,Equivalised income: 3rd 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year.",6
1020900,Equivalised income: 4th 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year.",6
1020910,Equivalised income: 5th 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year.",6
1020920,Equivalised income: 6th 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year.",6
1020930,Equivalised income: 7th 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year. For more information about these boundaries: see the link in the general explanation to this table.",6
1020940,Equivalised income: 8th 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year.",6
1020950,Equivalised income: 9th 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year.",6
1020960,Equivalised income: 10th 10%-group,"Equivalised income equals disposable income corrected for differences in household size and composition.

Households have been subdivided by level of equivalised income in ten groups (deciles) with an equal number of households.  The income boundaries between these ten 10%-groups differ from year to year.",6
